datafile (written by JARVIS-Tools) 

2160 	 atoms 
2  atom types
0.0 28.830159  xlo xhi
0.0 24.967650466964262  ylo yhi
0.0 26.23251  zlo zhi
-14.415078845597069 0.0 0.0  xy xz yz


Atoms 

     1   1 0.000000 1.4506990855899637e-05 2.7741806664600683 0.24608717631000002
     2   1 0.000000 1.4506990855899637e-05 2.7741806664600683 13.36234217631
     3   1 0.000000 -2.4025034389682713 6.935464133347924 0.24608717631000002
     4   1 0.000000 -2.4025034389682713 6.935464133347924 13.36234217631
     5   1 0.000000 -4.805006969848552 11.096722632584914 0.24608717631000002
     6   1 0.000000 -4.805006969848552 11.096722632584914 13.36234217631
     7   1 0.000000 -7.207524915807678 15.25800609947277 0.24608717631000002
     8   1 0.000000 -7.207524915807678 15.25800609947277 13.36234217631
     9   1 0.000000 -9.610042861766807 19.419289566360625 0.24608717631000002
    10   1 0.000000 -9.610042861766807 19.419289566360625 13.36234217631
    11   1 0.000000 -12.012546392647087 23.580548065597615 0.24608717631000002
    12   1 0.000000 -12.012546392647087 23.580548065597615 13.36234217631
    13   1 0.000000 4.80502184448414 2.7741806997150285 0.24608717631000002
    14   1 0.000000 4.80502184448414 2.7741806997150285 13.36234217631
    15   1 0.000000 2.402503898525013 6.935464166602884 0.24608717631000002
    16   1 0.000000 2.402503898525013 6.935464166602884 13.36234217631
    17   1 0.000000 3.676447325963937e-07 11.096722665839874 0.24608717631000002
    18   1 0.000000 3.676447325963937e-07 11.096722665839874 13.36234217631
    19   1 0.000000 -2.4025175783143933 15.25800613272773 0.24608717631000002
    20   1 0.000000 -2.4025175783143933 15.25800613272773 13.36234217631
    21   1 0.000000 -4.805035524273521 19.419289599615585 0.24608717631000002
    22   1 0.000000 -4.805035524273521 19.419289599615585 13.36234217631
    23   1 0.000000 -7.2075390551538 23.580548098852574 0.24608717631000002
    24   1 0.000000 -7.2075390551538 23.580548098852574 13.36234217631
    25   1 0.000000 9.61005801213677 2.7741807329701875 0.24608717631000002
    26   1 0.000000 9.61005801213677 2.7741807329701875 13.36234217631
    27   1 0.000000 7.207540066177642 6.935464199858044 0.24608717631000002
    28   1 0.000000 7.207540066177642 6.935464199858044 13.36234217631
    29   1 0.000000 4.805036535297362 11.096722699095034 0.24608717631000002
    30   1 0.000000 4.805036535297362 11.096722699095034 13.36234217631
    31   1 0.000000 2.4025185893382357 15.258006165982888 0.24608717631000002
    32   1 0.000000 2.4025185893382357 15.258006165982888 13.36234217631
    33   1 0.000000 6.433791106881172e-07 19.419289632870743 0.24608717631000002
    34   1 0.000000 6.433791106881172e-07 19.419289632870743 13.36234217631
    35   1 0.000000 -2.4025028875011705 23.580548132107733 0.24608717631000002
    36   1 0.000000 -2.4025028875011705 23.580548132107733 13.36234217631
    37   1 0.000000 14.415094179789401 2.7741807662253484 0.24608717631000002
    38   1 0.000000 14.415094179789401 2.7741807662253484 13.36234217631
    39   1 0.000000 12.012576233830274 6.935464233113204 0.24608717631000002
    40   1 0.000000 12.012576233830274 6.935464233113204 13.36234217631
